row,week_start,week_end,news_lag2w,cong_lag2w,news_t,cong_t
337,2021-06-28,2021-07-04,0,0,0,0
338,2021-07-05,2021-07-11,1,0,0,0
339,2021-07-12,2021-07-18,0,0,1,0
340,2021-07-19,2021-07-25,0,0,0,0
341,2021-07-26,2021-08-01,1,0,0,0
342,2021-08-02,2021-08-08,0,0,0,1
343,2021-08-09,2021-08-15,0,0,0,0
344,2021-08-16,2021-08-22,0,1,0,0
345,2021-08-23,2021-08-29,0,0,0,0
346,2021-08-30,2021-09-05,0,0,0,0
347,2021-09-06,2021-09-12,0,0,0,0
348,2021-09-13,2021-09-19,0,0,0,0
349,2021-09-20,2021-09-26,0,0,0,0
350,2021-09-27,2021-10-03,0,0,2,0
351,2021-10-04,2021-10-10,0,0,0,0
352,2021-10-11,2021-10-17,2,0,0,0
353,2021-10-18,2021-10-24,0,0,1,0
354,2021-10-25,2021-10-31,0,0,0,1
355,2021-11-01,2021-11-07,1,0,0,0
356,2021-11-08,2021-11-14,0,1,0,0
357,2021-11-15,2021-11-21,0,0,0,0
358,2021-11-22,2021-11-28,0,0,0,0
359,2021-11-29,2021-12-05,0,0,0,0
360,2021-12-06,2021-12-12,0,0,0,0
361,2021-12-13,2021-12-19,0,0,0,0
362,2021-12-20,2021-12-26,0,0,0,0
363,2021-12-27,2022-01-02,0,0,0,0
364,2022-01-03,2022-01-09,0,0,0,0
365,2022-01-10,2022-01-16,0,0,0,0
366,2022-01-17,2022-01-23,0,0,0,0
367,2022-01-24,2022-01-30,0,0,0,0
368,2022-01-31,2022-02-06,0,0,0,0
369,2022-02-07,2022-02-13,0,0,1,0
370,2022-02-14,2022-02-20,0,0,0,0
371,2022-02-21,2022-02-27,1,0,0,0
372,2022-02-28,2022-03-06,0,0,0,0
373,2022-03-07,2022-03-13,0,0,0,1
374,2022-03-14,2022-03-20,0,0,0,0
375,2022-03-21,2022-03-27,0,1,0,0
376,2022-03-28,2022-04-03,0,0,0,0
377,2022-04-04,2022-04-10,0,0,0,0
378,2022-04-11,2022-04-17,0,0,0,0
379,2022-04-18,2022-04-24,0,0,0,0
380,2022-04-25,2022-05-01,0,0,0,0
381,2022-05-02,2022-05-08,0,0,0,0
382,2022-05-09,2022-05-15,0,0,0,0
383,2022-05-16,2022-05-22,0,0,0,0
384,2022-05-23,2022-05-29,0,0,0,0
385,2022-05-30,2022-06-05,0,0,0,0
386,2022-06-06,2022-06-12,0,0,1,1
387,2022-06-13,2022-06-19,0,0,0,0
388,2022-06-20,2022-06-26,1,1,0,0
389,2022-06-27,2022-07-03,0,0,0,0
390,2022-07-04,2022-07-10,0,0,0,0
391,2022-07-11,2022-07-17,0,0,0,0
392,2022-07-18,2022-07-24,0,0,1,0
393,2022-07-25,2022-07-31,0,0,0,1
394,2022-08-01,2022-08-07,1,0,0,0
395,2022-08-08,2022-08-14,0,1,0,0
396,2022-08-15,2022-08-21,0,0,0,0
397,2022-08-22,2022-08-28,0,0,0,0
398,2022-08-29,2022-09-04,0,0,0,0
399,2022-09-05,2022-09-11,0,0,0,0
400,2022-09-12,2022-09-18,0,0,0,0
401,2022-09-19,2022-09-25,0,0,0,0
402,2022-09-26,2022-10-02,0,0,0,0
403,2022-10-03,2022-10-09,0,0,0,0
404,2022-10-10,2022-10-16,0,0,0,0
405,2022-10-17,2022-10-23,0,0,0,0
406,2022-10-24,2022-10-30,0,0,1,0
407,2022-10-31,2022-11-06,0,0,0,0
408,2022-11-07,2022-11-13,1,0,0,0
409,2022-11-14,2022-11-20,0,0,0,0
410,2022-11-21,2022-11-27,0,0,0,0
411,2022-11-28,2022-12-04,0,0,0,0
412,2022-12-05,2022-12-11,0,0,0,0
413,2022-12-12,2022-12-18,0,0,0,0
414,2022-12-19,2022-12-25,0,0,0,2
415,2022-12-26,2023-01-01,0,0,0,0
416,2023-01-02,2023-01-08,0,2,0,0
417,2023-01-09,2023-01-15,0,0,0,0
418,2023-01-16,2023-01-22,0,0,0,0
419,2023-01-23,2023-01-29,0,0,0,0
420,2023-01-30,2023-02-05,0,0,0,0
421,2023-02-06,2023-02-12,0,0,0,0
422,2023-02-13,2023-02-19,0,0,0,0
423,2023-02-20,2023-02-26,0,0,0,1
424,2023-02-27,2023-03-05,0,0,0,0
425,2023-03-06,2023-03-12,0,1,0,0
426,2023-03-13,2023-03-19,0,0,0,0
427,2023-03-20,2023-03-26,0,0,0,0
428,2023-03-27,2023-04-02,0,0,0,0
429,2023-04-03,2023-04-09,0,0,0,0
430,2023-04-10,2023-04-16,0,0,0,0
431,2023-04-17,2023-04-23,0,0,0,0
432,2023-04-24,2023-04-30,0,0,0,0
433,2023-05-01,2023-05-07,0,0,0,0
434,2023-05-08,2023-05-14,0,0,0,1
435,2023-05-15,2023-05-21,0,0,0,0
436,2023-05-22,2023-05-28,0,1,0,0
437,2023-05-29,2023-06-04,0,0,0,0
438,2023-06-05,2023-06-11,0,0,0,0
439,2023-06-12,2023-06-18,0,0,0,0
440,2023-06-19,2023-06-25,0,0,0,0
441,2023-06-26,2023-07-02,0,0,0,0
442,2023-07-03,2023-07-09,0,0,0,0
443,2023-07-10,2023-07-16,0,0,0,0
444,2023-07-17,2023-07-23,0,0,0,0
445,2023-07-24,2023-07-30,0,0,0,1
446,2023-07-31,2023-08-06,0,0,0,0
447,2023-08-07,2023-08-13,0,1,0,0
448,2023-08-14,2023-08-20,0,0,0,0
449,2023-08-21,2023-08-27,0,0,0,0
450,2023-08-28,2023-09-03,0,0,0,0
451,2023-09-04,2023-09-10,0,0,0,0
452,2023-09-11,2023-09-17,0,0,0,0
453,2023-09-18,2023-09-24,0,0,0,1
454,2023-09-25,2023-10-01,0,0,0,0
455,2023-10-02,2023-10-08,0,1,0,0
456,2023-10-09,2023-10-15,0,0,0,0
457,2023-10-16,2023-10-22,0,0,0,0
458,2023-10-23,2023-10-29,0,0,0,0
459,2023-10-30,2023-11-05,0,0,0,0
460,2023-11-06,2023-11-12,0,0,0,0
461,2023-11-13,2023-11-19,0,0,0,0
462,2023-11-20,2023-11-26,0,0,0,0
463,2023-11-27,2023-12-03,0,0,0,0
464,2023-12-04,2023-12-10,0,0,0,0
465,2023-12-11,2023-12-17,0,0,0,1
466,2023-12-18,2023-12-24,0,0,0,0
467,2023-12-25,2023-12-31,0,1,2,0
468,2024-01-01,2024-01-07,0,0,0,0
469,2024-01-08,2024-01-14,2,0,0,0
